#Organism Group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation Source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes	Computed types
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00861	"2021CK-00861","Acinetobacter_baumannii_2021CK-00861","SRS8646387"		PDT001001306.1	2021-04-07T07:27:19Z	USA	Wound/Abscess	clinical	PDS000090290.5	23	39	SAMN18636604	GCA_017835915.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00857	"2021CK-00857","Acinetobacter_baumannii_2021CK-00857","SRS8646382"		PDT001001311.1	2021-04-07T07:27:21Z	USA	other	clinical	PDS000090290.5	0	8	SAMN18636600	GCA_017835035.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00852	"2021CK-00852","Acinetobacter_baumannii_2021CK-00852","SRS8646377"		PDT001001316.1	2021-04-07T07:27:22Z	USA	Wound/Abscess	clinical	PDS000090290.5	10	25	SAMN18636595	GCA_017846315.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00851	"2021CK-00851","Acinetobacter_baumannii_2021CK-00851","SRS8646376"		PDT001001317.1	2021-04-07T07:27:22Z	USA	sputum	clinical	PDS000090290.5	3	23	SAMN18636594	GCA_017835015.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00835	"2021CK-00835","Acinetobacter_baumannii_2021CK-00835","SRS8646370"		PDT001001323.1	2021-04-07T07:27:24Z	USA	other	clinical	PDS000090290.5	0	13	SAMN18636589	GCA_017836275.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00801	"2021CK-00801","Acinetobacter_baumannii_2021CK-00801","SRS8646368"		PDT001001325.1	2021-04-07T07:27:24Z	USA	Wound/Abscess	clinical	PDS000090290.5	3	17	SAMN18636558	GCA_017835795.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,parC_S84L=POINT,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00800	"2021CK-00800","Acinetobacter_baumannii_2021CK-00800","SRS8646367"		PDT001001326.1	2021-04-07T07:27:25Z	USA	Tracheal Aspirate/Wash	clinical	PDS000090290.5	2	29	SAMN18636557	GCA_017832595.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00798	"2021CK-00798","Acinetobacter_baumannii_2021CK-00798","SRS8646365"		PDT001001328.1	2021-04-07T07:27:25Z	USA	Wound/Abscess	clinical	PDS000090290.5	2	23	SAMN18636555	GCA_017835755.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00797	"2021CK-00797","Acinetobacter_baumannii_2021CK-00797","SRS8646364"		PDT001001329.1	2021-04-07T07:27:25Z	USA	Wound/Abscess	clinical	PDS000090290.5	4	32	SAMN18636554	GCA_017835735.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00792	"2021CK-00792","Acinetobacter_baumannii_2021CK-00792","SRS8646358"		PDT001001335.1	2021-04-07T07:27:27Z	USA	other	clinical	PDS000090290.5	0	13	SAMN18636549	GCA_017837595.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00791	"2021CK-00791","Acinetobacter_baumannii_2021CK-00791","SRS8646357"		PDT001001336.1	2021-04-07T07:27:27Z	USA	Wound/Abscess	clinical	PDS000090290.5	2	14	SAMN18636548	GCA_017831255.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00787	"2021CK-00787","Acinetobacter_baumannii_2021CK-00787","SRS8646353"		PDT001001340.1	2021-04-07T07:27:28Z	USA	urine	clinical	PDS000090290.5	0	15	SAMN18636544	GCA_017836335.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00786	"2021CK-00786","Acinetobacter_baumannii_2021CK-00786","SRS8646352"		PDT001001341.1	2021-04-07T07:27:28Z	USA	Wound/Abscess	clinical	PDS000090290.5	0	14	SAMN18636543	GCA_017835675.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00783	"2021CK-00783","Acinetobacter_baumannii_2021CK-00783","SRS8646348"		PDT001001345.1	2021-04-07T07:27:29Z	USA	sputum	clinical	PDS000090290.5	3	11	SAMN18636540	GCA_017836215.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00781	"2021CK-00781","Acinetobacter_baumannii_2021CK-00781","SRS8646346"		PDT001001347.1	2021-04-07T07:27:30Z	USA	urine	clinical	PDS000090290.5	0	13	SAMN18636538	GCA_017846255.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00779	"2021CK-00779","Acinetobacter_baumannii_2021CK-00779","SRS8646344"		PDT001001349.1	2021-04-07T07:27:30Z	USA	Wound/Abscess	clinical	PDS000090290.5	1	12	SAMN18636536	GCA_017835635.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00776	"2021CK-00776","Acinetobacter_baumannii_2021CK-00776","SRS8646341"		PDT001001352.1	2021-04-07T07:27:31Z	USA	Wound/Abscess	clinical	PDS000090290.5	3	15	SAMN18636533	GCA_017836235.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00775	"2021CK-00775","Acinetobacter_baumannii_2021CK-00775","SRS8646340"		PDT001001353.1	2021-04-07T07:27:31Z	USA	Wound/Abscess	clinical	PDS000090290.5	0	12	SAMN18636532	GCA_017846235.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00774	"2021CK-00774","Acinetobacter_baumannii_2021CK-00774","SRS8646339"		PDT001001354.1	2021-04-07T07:27:31Z	USA	other	clinical	PDS000090290.5	1	9	SAMN18636531	GCA_017835615.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00765	"2021CK-00765","Acinetobacter_baumannii_2021CK-00765","SRS8646338"		PDT001001355.1	2021-04-07T07:27:32Z	USA	urine	clinical	PDS000090290.5	1	22	SAMN18636522	GCA_017830235.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	2020GN-00062	"2020GN-00062","SRS8761248"		PDT001012182.1	2021-04-24T13:23:27Z	USA		clinical	PDS000090290.5	4	30	SAMN18849903	GCA_018169475.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	2021GO-0042	"2021GO-0042","SRS8871333"		PDT001019287.1	2021-05-06T01:21:31Z	USA	Bacterial isolate specimen	clinical	PDS000090290.5	1	31	SAMN19022535	GCA_018288075.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaADC-73=COMPLETE,blaNDM-1=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,ble=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,parC_S84L=POINT,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	2021GO-0033	"2021GO-0033","SRS8871323"		PDT001019297.1	2021-05-06T01:21:34Z	USA	Sputum specimen	clinical	PDS000090290.5	0	30	SAMN19022526	GCA_018287895.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaNDM-1=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,ble=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	2021GO-0022	"2021GO-0022","SRS8871311"		PDT001019309.1	2021-05-06T01:21:37Z	USA	Urine first void	clinical	PDS000090290.5	0	30	SAMN19022515	GCA_018287775.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaNDM-1=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,ble=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	2021GO-0019	"2021GO-0019","SRS8871307"		PDT001019313.1	2021-05-06T01:21:38Z	USA	Specimen from wound	clinical	PDS000090290.5	2	32	SAMN19022512	GCA_018287755.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaNDM-1=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,ble=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	2021GO-0017	"2021GO-0017","SRS8871305"		PDT001019315.1	2021-05-06T01:21:38Z	USA	Sputum specimen	clinical	PDS000090290.5	3	34	SAMN19022510	GCA_018287735.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaNDM-1=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,ble=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,sul2=COMPLETE,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00892	"2021CK-00892","Acinetobacter_baumannii_2021CK-00892","SRS8874607"		PDT001019379.1	2021-05-06T02:21:39Z	USA	Wound/Abscess	clinical	PDS000090290.5	2	30	SAMN19026414	GCA_018287195.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00891	"2021CK-00891","Acinetobacter_baumannii_2021CK-00891","SRS8874605"		PDT001019381.1	2021-05-06T02:21:40Z	USA	blood	clinical	PDS000090290.5	9	21	SAMN19026413	GCA_018286715.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00885	"2021CK-00885","Acinetobacter_baumannii_2021CK-00885","SRS8874599"		PDT001019386.1	2021-05-06T02:21:41Z	USA	bronchoalveolar lavage	clinical	PDS000090290.5	0	26	SAMN19026407	GCA_018286535.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00872	"2021CK-00872","Acinetobacter_baumannii_2021CK-00872","SRS8874585"		PDT001019396.1	2021-05-06T02:21:44Z	USA	Wound/Abscess	clinical	PDS000090290.5	0	16	SAMN19026394	GCA_018286335.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00870	"2021CK-00870","Acinetobacter_baumannii_2021CK-00870","SRS8874581"		PDT001019399.1	2021-05-06T02:21:45Z	USA	Wound/Abscess	clinical	PDS000090290.5	1	24	SAMN19026392	GCA_018286315.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,aph(6)-Id=PARTIAL_END_OF_CONTIG,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00869	"2021CK-00869","Acinetobacter_baumannii_2021CK-00869","SRS8874582"		PDT001019400.1	2021-05-06T02:21:45Z	USA	other	clinical	PDS000090290.5	1	9	SAMN19026391	GCA_018286235.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00867	"2021CK-00867","Acinetobacter_baumannii_2021CK-00867","SRS8874578"		PDT001019402.1	2021-05-06T02:21:46Z	USA	Wound/Abscess	clinical	PDS000090290.5	2	15	SAMN19026389	GCA_018286215.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00866	"2021CK-00866","Acinetobacter_baumannii_2021CK-00866","SRS8874579"		PDT001019403.1	2021-05-06T02:21:46Z	USA	Wound/Abscess	clinical	PDS000090290.5	2	12	SAMN19026388	GCA_018286175.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00943	"2021CK-00943","Acinetobacter_baumannii_2021CK-00943","SRS8874572"		PDT001019408.1	2021-05-06T02:21:47Z	USA	Wound/Abscess	clinical	PDS000090290.5	5	21	SAMN19026462	GCA_018286115.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaADC=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00940	"2021CK-00940","Acinetobacter_baumannii_2021CK-00940","SRS8874573"		PDT001019409.1	2021-05-06T02:21:47Z	USA	Wound/Abscess	clinical	PDS000090290.5	3	11	SAMN19026461	GCA_018286095.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
Acinetobacter baumannii	Acinetobacter_baumannii_2021CK-00939	"2021CK-00939","Acinetobacter_baumannii_2021CK-00939","SRS8874571"		PDT001019410.1	2021-05-06T02:21:48Z	USA	urine	clinical	PDS000090290.5	2	14	SAMN19026460	GCA_018286075.1	abaF=COMPLETE,amvA=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,armA=COMPLETE,blaADC-73=COMPLETE,blaOXA-23=COMPLETE,blaOXA-66=COMPLETE,blaTEM-1=COMPLETE,ftsI_A515V=POINT,gyrA_S81L=POINT,mph(E)=COMPLETE,msr(E)=COMPLETE,parC_S84L=POINT,tet(B)=COMPLETE	
